Date,credit_cycle,Market_Rate_Phase,Event,Duration
2002-07-09,Loose,Loose,2,74
2002-10-25,Loose,Tight,3,48
2003-01-02,Tight,Tight,4,41
2003-03-05,Tight,Loose,1,59
2003-06-02,Loose,Loose,2,61
2003-09-01,Tight,Loose,1,16
2003-09-23,Tight,Tight,4,129
2004-04-01,Loose,Tight,3,21
2004-05-08,Tight,Tight,4,169
2005-01-04,Loose,Tight,3,31
2005-02-21,Loose,Loose,2,6
2005-03-01,Tight,Loose,1,85
2005-07-01,Loose,Loose,2,129
2006-01-04,Tight,Loose,1,19
2006-02-05,Loose,Loose,2,142
2006-08-25,Loose,Tight,3,64
2006-11-28,Loose,Loose,2,62
2007-02-28,Loose,Tight,3,46
2007-05-08,Tight,Tight,4,61
2007-08-01,Loose,Tight,3,85
2007-12-03,Tight,Tight,4,72
2008-03-18,Tight,Loose,1,79
2008-07-10,Tight,Tight,4,69
2008-10-21,Tight,Loose,1,29
2008-12-01,Loose,Loose,2,156
2009-07-16,Loose,Tight,3,94
2009-12-01,Tight,Tight,4,361
2011-05-13,Tight,Loose,1,60
2011-08-08,Tight,Tight,4,69
2011-11-17,Tight,Loose,1,10
2011-12-01,Loose,Loose,2,61
2012-03-01,Tight,Loose,1,40
2012-04-27,Tight,Tight,4,2
2012-05-02,Loose,Tight,3,30
2012-06-13,Loose,Loose,2,87
2012-10-19,Loose,Tight,3,31
2012-12-03,Tight,Tight,4,21
2013-01-04,Loose,Tight,3,71
2013-04-17,Loose,Loose,2,32
2013-06-03,Tight,Loose,1,43
2013-08-02,Tight,Tight,4,178
2014-04-22,Tight,Loose,1,28
2014-06-03,Loose,Loose,2,64
2014-09-01,Tight,Loose,1,19
2014-09-28,Tight,Tight,4,39
2014-11-26,Tight,Loose,1,26
2015-01-04,Loose,Loose,2,60
2015-04-01,Tight,Loose,1,62
2015-07-01,Loose,Loose,2,243
2016-06-22,Loose,Tight,3,51
2016-09-01,Tight,Tight,4,6
2016-09-09,Tight,Loose,1,15
2016-10-08,Loose,Loose,2,18
2016-11-01,Tight,Loose,1,33
2016-12-16,Tight,Tight,4,73
2017-04-01,Loose,Tight,3,19
2017-05-02,Tight,Tight,4,21
2017-06-01,Loose,Tight,3,22
2017-07-03,Tight,Tight,4,128
2018-01-02,Loose,Tight,3,22
2018-02-01,Tight,Tight,4,41
2018-04-04,Tight,Loose,1,189
2019-01-02,Loose,Loose,2,90
2019-05-14,Loose,Tight,3,87
2019-09-13,Loose,Loose,2,67
2019-12-19,Loose,Tight,3,9
2020-01-02,Tight,Tight,4,24
2020-02-11,Tight,Loose,1,14
2020-03-02,Loose,Loose,2,84
2020-07-01,Tight,Loose,1,17
2020-07-24,Tight,Tight,4,27
2020-09-01,Loose,Tight,3,121
2021-03-01,Tight,Tight,4,13
2021-03-18,Tight,Loose,1,94
2021-08-02,Loose,Loose,2,22
2021-09-01,Tight,Loose,1,80
2021-12-28,Tight,Tight,4,13
2022-01-17,Tight,Loose,1,28
2022-03-01,Loose,Loose,2,190
2022-12-01,Tight,Loose,1,5
2022-12-08,Tight,Tight,4,18
2023-01-03,Loose,Tight,3,81
2023-05-04,Tight,Tight,4,18
2023-05-29,Tight,Loose,1,121
2023-11-21,Tight,Tight,4,29
2024-01-02,Loose,Tight,3,34
2024-02-22,Loose,Loose,2,27
2024-04-01,Tight,Loose,1,43
